,state_name,state,congress,s_upper,s_lower,election_name,race_type,voter_power
116,Kansas,20,NA,NA,46,State House District 46,State Leg (Lower),1
117,Kansas,20,NA,NA,47,State House District 47,State Leg (Lower),13
118,Kansas,20,NA,NA,48,State House District 48,State Leg (Lower),99
119,Kansas,20,NA,NA,49,State House District 49,State Leg (Lower),93
120,Kansas,20,NA,NA,50,State House District 50,State Leg (Lower),13
121,Kansas,20,NA,NA,51,State House District 51,State Leg (Lower),5
122,Kansas,20,NA,NA,52,State House District 52,State Leg (Lower),57
123,Kansas,20,NA,NA,53,State House District 53,State Leg (Lower),76
124,Kansas,20,NA,NA,54,State House District 54,State Leg (Lower),9
125,Kansas,20,NA,NA,55,State House District 55,State Leg (Lower),14
126,Kansas,20,NA,NA,56,State House District 56,State Leg (Lower),84
127,Kansas,20,NA,NA,57,State House District 57,State Leg (Lower),34
128,Kansas,20,NA,NA,58,State House District 58,State Leg (Lower),11
129,Kansas,20,NA,NA,59,State House District 59,State Leg (Lower),5
130,Kansas,20,NA,NA,60,State House District 60,State Leg (Lower),96
131,Kansas,20,NA,NA,61,State House District 61,State Leg (Lower),3
132,Kansas,20,NA,NA,62,State House District 62,State Leg (Lower),2
133,Kansas,20,NA,NA,63,State House District 63,State Leg (Lower),4
134,Kansas,20,NA,NA,64,State House District 64,State Leg (Lower),2
135,Kansas,20,NA,NA,65,State House District 65,State Leg (Lower),36
136,Kansas,20,NA,NA,66,State House District 66,State Leg (Lower),15
137,Kansas,20,NA,NA,67,State House District 67,State Leg (Lower),100
138,Kansas,20,NA,NA,68,State House District 68,State Leg (Lower),5
139,Kansas,20,NA,NA,69,State House District 69,State Leg (Lower),8
140,Kansas,20,NA,NA,70,State House District 70,State Leg (Lower),2
141,Kansas,20,NA,NA,71,State House District 71,State Leg (Lower),9
142,Kansas,20,NA,NA,72,State House District 72,State Leg (Lower),17
143,Kansas,20,NA,NA,73,State House District 73,State Leg (Lower),5
144,Kansas,20,NA,NA,74,State House District 74,State Leg (Lower),6
145,Kansas,20,NA,NA,75,State House District 75,State Leg (Lower),3
146,Kansas,20,NA,NA,76,State House District 76,State Leg (Lower),3
147,Kansas,20,NA,NA,77,State House District 77,State Leg (Lower),3
148,Kansas,20,NA,NA,78,State House District 78,State Leg (Lower),55
149,Kansas,20,NA,NA,79,State House District 79,State Leg (Lower),5
150,Kansas,20,NA,NA,80,State House District 80,State Leg (Lower),6
151,Kansas,20,NA,NA,81,State House District 81,State Leg (Lower),12
152,Kansas,20,NA,NA,82,State House District 82,State Leg (Lower),7
153,Kansas,20,NA,NA,83,State House District 83,State Leg (Lower),31
154,Kansas,20,NA,NA,84,State House District 84,State Leg (Lower),3
155,Kansas,20,NA,NA,85,State House District 85,State Leg (Lower),46
156,Kansas,20,NA,NA,86,State House District 86,State Leg (Lower),41
157,Kansas,20,NA,NA,87,State House District 87,State Leg (Lower),59
158,Kansas,20,NA,NA,88,State House District 88,State Leg (Lower),99
159,Kansas,20,NA,NA,89,State House District 89,State Leg (Lower),10
160,Kansas,20,NA,NA,90,State House District 90,State Leg (Lower),4
161,Kansas,20,NA,NA,91,State House District 91,State Leg (Lower),9
162,Kansas,20,NA,NA,92,State House District 92,State Leg (Lower),41
163,Kansas,20,NA,NA,93,State House District 93,State Leg (Lower),3
164,Kansas,20,NA,NA,94,State House District 94,State Leg (Lower),9
165,Kansas,20,NA,NA,95,State House District 95,State Leg (Lower),96
166,Kansas,20,NA,NA,96,State House District 96,State Leg (Lower),81
167,Kansas,20,NA,NA,97,State House District 97,State Leg (Lower),17
168,Kansas,20,NA,NA,98,State House District 98,State Leg (Lower),20
169,Kansas,20,NA,NA,99,State House District 99,State Leg (Lower),8
170,Kansas,20,NA,NA,100,State House District 100,State Leg (Lower),15
171,Kansas,20,NA,NA,101,State House District 101,State Leg (Lower),2
172,Kansas,20,NA,NA,102,State House District 102,State Leg (Lower),49
173,Kansas,20,NA,NA,103,State House District 103,State Leg (Lower),9
174,Kansas,20,NA,NA,104,State House District 104,State Leg (Lower),5
175,Kansas,20,NA,NA,105,State House District 105,State Leg (Lower),40
176,Kansas,20,NA,NA,106,State House District 106,State Leg (Lower),1
177,Kansas,20,NA,NA,107,State House District 107,State Leg (Lower),2
178,Kansas,20,NA,NA,108,State House District 108,State Leg (Lower),52
179,Kansas,20,NA,NA,109,State House District 109,State Leg (Lower),1
180,Kansas,20,NA,NA,110,State House District 110,State Leg (Lower),1
181,Kansas,20,NA,NA,111,State House District 111,State Leg (Lower),4
182,Kansas,20,NA,NA,112,State House District 112,State Leg (Lower),2
183,Kansas,20,NA,NA,113,State House District 113,State Leg (Lower),1
184,Kansas,20,NA,NA,114,State House District 114,State Leg (Lower),2
185,Kansas,20,NA,NA,115,State House District 115,State Leg (Lower),1
186,Kansas,20,NA,NA,116,State House District 116,State Leg (Lower),1
187,Kansas,20,NA,NA,117,State House District 117,State Leg (Lower),53
188,Kansas,20,NA,NA,118,State House District 118,State Leg (Lower),1
189,Kansas,20,NA,NA,119,State House District 119,State Leg (Lower),23
190,Kansas,20,NA,NA,120,State House District 120,State Leg (Lower),1
191,Kansas,20,NA,NA,121,State House District 121,State Leg (Lower),70
192,Kansas,20,NA,NA,122,State House District 122,State Leg (Lower),2
193,Kansas,20,NA,NA,123,State House District 123,State Leg (Lower),17
194,Kansas,20,NA,NA,124,State House District 124,State Leg (Lower),1
195,Kansas,20,NA,NA,125,State House District 125,State Leg (Lower),6
196,Michigan,26,NA,NA,1,State House District 1,State Leg (Lower),1
197,Michigan,26,NA,NA,2,State House District 2,State Leg (Lower),38
198,Michigan,26,NA,NA,3,State House District 3,State Leg (Lower),2
199,Michigan,26,NA,NA,4,State House District 4,State Leg (Lower),0
200,Michigan,26,NA,NA,5,State House District 5,State Leg (Lower),0
201,Michigan,26,NA,NA,6,State House District 6,State Leg (Lower),8
202,Michigan,26,NA,NA,7,State House District 7,State Leg (Lower),0
203,Michigan,26,NA,NA,8,State House District 8,State Leg (Lower),1
204,Michigan,26,NA,NA,9,State House District 9,State Leg (Lower),0
205,Michigan,26,NA,NA,10,State House District 10,State Leg (Lower),6
206,Michigan,26,NA,NA,11,State House District 11,State Leg (Lower),1
207,Michigan,26,NA,NA,12,State House District 12,State Leg (Lower),4
208,Michigan,26,NA,NA,13,State House District 13,State Leg (Lower),78
209,Michigan,26,NA,NA,14,State House District 14,State Leg (Lower),22
210,Michigan,26,NA,NA,15,State House District 15,State Leg (Lower),12
211,Michigan,26,NA,NA,16,State House District 16,State Leg (Lower),2
212,Michigan,26,NA,NA,17,State House District 17,State Leg (Lower),5
213,Michigan,26,NA,NA,18,State House District 18,State Leg (Lower),1
214,Michigan,26,NA,NA,19,State House District 19,State Leg (Lower),6
215,Michigan,26,NA,NA,20,State House District 20,State Leg (Lower),37
216,Michigan,26,NA,NA,21,State House District 21,State Leg (Lower),60
217,Michigan,26,NA,NA,22,State House District 22,State Leg (Lower),100
218,Michigan,26,NA,NA,23,State House District 23,State Leg (Lower),10
219,Michigan,26,NA,NA,24,State House District 24,State Leg (Lower),19
220,Michigan,26,NA,NA,25,State House District 25,State Leg (Lower),16
221,Michigan,26,NA,NA,26,State House District 26,State Leg (Lower),5
222,Michigan,26,NA,NA,27,State House District 27,State Leg (Lower),100
223,Michigan,26,NA,NA,28,State House District 28,State Leg (Lower),100
224,Michigan,26,NA,NA,29,State House District 29,State Leg (Lower),98
225,Michigan,26,NA,NA,30,State House District 30,State Leg (Lower),27
226,Michigan,26,NA,NA,31,State House District 31,State Leg (Lower),85
227,Michigan,26,NA,NA,32,State House District 32,State Leg (Lower),2
228,Michigan,26,NA,NA,33,State House District 33,State Leg (Lower),2
229,Michigan,26,NA,NA,34,State House District 34,State Leg (Lower),29
230,Michigan,26,NA,NA,35,State House District 35,State Leg (Lower),4
231,Michigan,26,NA,NA,36,State House District 36,State Leg (Lower),8
232,Michigan,26,NA,NA,37,State House District 37,State Leg (Lower),16
233,Michigan,26,NA,NA,38,State House District 38,State Leg (Lower),83
234,Michigan,26,NA,NA,39,State House District 39,State Leg (Lower),21
235,Michigan,26,NA,NA,40,State House District 40,State Leg (Lower),44
236,Michigan,26,NA,NA,41,State House District 41,State Leg (Lower),2
237,Michigan,26,NA,NA,42,State House District 42,State Leg (Lower),63
238,Michigan,26,NA,NA,43,State House District 43,State Leg (Lower),4
239,Michigan,26,NA,NA,44,State House District 44,State Leg (Lower),100
240,Michigan,26,NA,NA,45,State House District 45,State Leg (Lower),8
241,Michigan,26,NA,NA,46,State House District 46,State Leg (Lower),97
242,Michigan,26,NA,NA,47,State House District 47,State Leg (Lower),11
243,Michigan,26,NA,NA,48,State House District 48,State Leg (Lower),91
244,Michigan,26,NA,NA,49,State House District 49,State Leg (Lower),54
245,Michigan,26,NA,NA,50,State House District 50,State Leg (Lower),8
246,Michigan,26,NA,NA,51,State House District 51,State Leg (Lower),19
247,Michigan,26,NA,NA,52,State House District 52,State Leg (Lower),29
248,Michigan,26,NA,NA,53,State House District 53,State Leg (Lower),5
249,Michigan,26,NA,NA,54,State House District 54,State Leg (Lower),96
250,Michigan,26,NA,NA,55,State House District 55,State Leg (Lower),98
251,Michigan,26,NA,NA,56,State House District 56,State Leg (Lower),50
